,country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
0,Afghanistan,20,0,96,0,0,0,0,0,0,0,0
1,Albania,49,0,211,4,10089,8428,1661,1931,0.36,0.29,0.06
2,Algeria,59,3,356,14,75030,0,0,69070,0.17,0,0
3,Andorra,13,0,31,0,4525,2903,0,944,5.86,3.76,0
4,Antigua and Barbuda,0,0,4,0,0,0,0,0,0,0,0
5,Argentina,64,1,305,14,13142466,8776303,3818717,658938,29.09,19.41,8.47
6,Armenia,51,0,106,0,0,0,0,0,0,0,0
7,Aruba,0,0,2,0,0,0,0,0,0,0,0
8,Australia,372,4,2561,42,0,0,0,0,0,0,0
9,Austria,1130,2,4812,7,8631494,6339517,1918291,405558,95.83,70.39,21.33
10,Azerbaijan,16,0,151,0,65000,65000,0,65000,0.64,0.64,0
11,Bahamas,0,0,1,0,0,0,0,0,0,0,0
12,Bahrain,221,0,2079,2,7546320,7546320,0,234874,443.52,443.52,0
13,Bangladesh,5,0,34,0,8118558,8118558,0,1170126,4.94,4.94,0
14,Belarus,35,0,189,0,0,0,0,0,0,0,0
15,Belgium,1084,0,5186,10,13205172,10424425,2780747,600513,113.92,89.92,24.03
16,Benin,0,0,1,0,0,0,0,0,0,0,0
17,Bhutan,0,0,12,0,0,0,0,0,0,0,0
18,Bolivia,9,0,35,0,16008,0,0,7964,0.13,0,0
19,Bosnia and Herzegovina,17,0,90,0,0,0,0,0,0,0,0
20,Brazil,233,0,919,0,92023781,88514612,3374371,5718168,43.29,41.64,1.57
21,Brunei,49,0,191,0,0,0,0,0,0,0,0
22,Bulgaria,65,1,198,9,1888070,1422835,465235,87318,27.15,20.48,6.76
23,Burkina Faso,13,0,29,0,0,0,0,0,0,0,0
24,Cambodia,23,0,107,0,4728,4728,0,5216,0.03,0.03,0
25,Cameroon,4,0,28,0,0,0,0,0,0,0,0
26,Canada,423,0,2118,7,25864249,4393237,684944,1043708,68.53,11.66,1.81
27,Cayman Islands,0,0,4,2,88256,54794,33462,17324,134.29,83.39,50.9
28,Central African Republic,0,0,3,0,0,0,0,0,0,0,0
29,Chile,155,0,444,0,19101564,18404772,696792,1908990,99.98,96.37,3.59
30,China,80838,3225,2943625,98139,158487000,0,0,34922496,11.01,0,0
31,Colombia,44,0,136,0,29179,29179,0,11047,0.06,0.06,0
32,Congo,0,0,3,0,0,0,0,0,0,0,0
33,Costa Rica,36,0,181,0,344399,246776,85362,88258,6.75,4.85,1.68
34,Cote d'Ivoire,5,0,15,0,0,0,0,0,0,0,0
35,Croatia,54,0,325,0,1283933,840403,299549,120515,31.27,20.46,7.29
36,Cuba,2,0,20,0,0,0,0,0,0,0,0
37,Curacao,1,0,7,0,0,0,0,0,0,0,0
38,Cyprus,31,0,117,0,140686,107507,32469,37180,16.07,12.28,3.69
39,Czech Republic,380,0,1452,0,0,0,0,0,0,0,0
40,Democratic Republic of Congo,2,0,12,0,0,0,0,0,0,0,0
41,Denmark,959,3,5269,5,11499786,8392954,3106832,432152,198.51,144.89,53.63
42,Dominican Republic,20,0,64,1,373,0,0,373,0,0,0
43,Ecuador,57,0,283,4,17508,15546,1962,8717,0.11,0.1,0.01
44,Egypt,165,3,863,15,1315,0,0,1314,0,0,0
45,Equatorial Guinea,0,0,3,0,0,0,0,0,0,0,0
46,Estonia,204,0,660,0,1606545,836525,372359,73132,121.13,63.06,28.07
47,Ethiopia,4,0,8,0,0,0,0,0,0,0,0
48,Faeroe Islands,46,0,81,0,18789,16276,2513,1062,38.45,33.31,5.14
49,Finland,271,0,1230,0,5897809,4333875,1060700,293545,106.46,78.2,19.17
50,France,6570,147,32504,693,62191771,53769538,8422233,3093435,91.66,79.24,12.42
51,French Guiana,2,0,58,0,0,0,0,0,0,0,0
52,French Polynesia,2,0,12,0,0,0,0,0,0,0,0
53,Gabon,0,0,4,0,0,0,0,0,0,0,0
54,Georgia,32,0,269,0,0,0,0,0,0,0,0
55,Germany,6011,11,28449,52,104361556,79343753,25017803,4402873,124.61,94.74,29.88
56,Ghana,5,0,11,0,0,0,0,0,0,0,0
