,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
30,Albania,ALB,2021-02-09,1127.0,689.0,438.0,82.0,0.04,0.02,0.02,28.0,Pfizer/BioNTech
38,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,72.0,0.06,0.04,0.02,25.0,Pfizer/BioNTech
39,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,254.0,0.11,0.08,0.02,88.0,Pfizer/BioNTech
113,Argentina,ARG,2021-01-20,247933.0,243539.0,4394.0,11586.0,0.55,0.54,0.01,256.0,Sputnik V
114,Argentina,ARG,2021-01-21,265724.0,249372.0,16352.0,11704.0,0.59,0.55,0.04,259.0,Sputnik V
115,Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V
116,Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V
117,Argentina,ARG,2021-01-24,292023.0,260036.0,31987.0,10342.0,0.65,0.58,0.07,229.0,Sputnik V
118,Argentina,ARG,2021-01-25,292386.0,260122.0,32264.0,9046.0,0.65,0.58,0.07,200.0,Sputnik V
119,Argentina,ARG,2021-01-26,305880.0,266969.0,38911.0,9626.0,0.68,0.59,0.09,213.0,Sputnik V
120,Argentina,ARG,2021-01-27,318033.0,272323.0,45710.0,10014.0,0.7,0.6,0.1,222.0,Sputnik V
121,Argentina,ARG,2021-01-28,327999.0,276548.0,51451.0,8896.0,0.73,0.61,0.11,197.0,Sputnik V
122,Argentina,ARG,2021-01-29,344034.0,278451.0,65583.0,9205.0,0.76,0.62,0.15,204.0,Sputnik V
123,Argentina,ARG,2021-01-30,366384.0,281023.0,85361.0,11189.0,0.81,0.62,0.19,248.0,Sputnik V
125,Argentina,ARG,2021-02-01,375851.0,281577.0,94274.0,11924.0,0.83,0.62,0.21,264.0,Sputnik V
127,Argentina,ARG,2021-02-03,396562.0,284196.0,112366.0,11218.0,0.88,0.63,0.25,248.0,Sputnik V
128,Argentina,ARG,2021-02-04,444018.0,297717.0,146301.0,16574.0,0.98,0.66,0.32,367.0,Sputnik V
130,Argentina,ARG,2021-02-06,471383.0,307501.0,163882.0,15000.0,1.04,0.68,0.36,332.0,Sputnik V
131,Argentina,ARG,2021-02-07,501152.0,319316.0,181836.0,18576.0,1.11,0.71,0.4,411.0,Sputnik V
132,Argentina,ARG,2021-02-08,511582.0,322318.0,189264.0,19390.0,1.13,0.71,0.42,429.0,Sputnik V
133,Argentina,ARG,2021-02-09,513178.0,322975.0,190203.0,18139.0,1.14,0.71,0.42,401.0,Sputnik V
134,Argentina,ARG,2021-02-10,535303.0,337772.0,197531.0,19820.0,1.18,0.75,0.44,439.0,Sputnik V
135,Argentina,ARG,2021-02-11,572928.0,362649.0,210279.0,18416.0,1.27,0.8,0.47,407.0,Sputnik V
136,Argentina,ARG,2021-02-12,591632.0,368023.0,223609.0,19133.0,1.31,0.81,0.49,423.0,Sputnik V
