,submission_date,tot_cases,new_case,tot_death,new_death
0,01/01/2021,20134598,174037,347333,2479
1,01/02/2021,20418238,283640,349617,2284
2,01/03/2021,20625090,206852,351010,1393
3,01/04/2021,20800492,175402,352848,1838
4,01/05/2021,21030609,230117,356423,3575
5,01/06/2021,21280239,249630,360258,3835
6,01/07/2021,21560662,280423,364419,4161
7,01/08/2021,21875634,314972,368075,3656
8,01/09/2021,22122445,246811,371504,3429
9,01/10/2021,22342424,219979,373592,2088
10,01/11/2021,22543826,201402,375601,2009
11,01/12/2021,22763905,220079,379759,4158
12,01/13/2021,22986832,222927,383869,4110
13,01/14/2021,23214965,228133,387819,3950
14,01/15/2021,23462882,247917,391470,3651
15,01/16/2021,23673591,210709,395021,3551
16,01/17/2021,23856786,183195,396909,1888
17,01/18/2021,24005277,148491,398557,1648
18,01/19/2021,24154192,148915,400891,2334
19,01/20/2021,24341199,187007,405278,4387
20,01/21/2021,24529591,188392,409289,4011
21,01/22/2020,1,1,0,0
22,01/22/2021,24720931,191340,413226,3937
23,01/23/2020,1,0,0,0
24,01/23/2021,24891373,170442,416627,3401
25,01/24/2020,2,1,0,0
26,01/24/2021,25031373,140000,418545,1918
27,01/25/2020,2,0,0,0
28,01/25/2021,25165652,134279,420492,1947
29,01/26/2020,5,3,0,0
30,01/26/2021,25316100,150448,424215,3723
31,01/27/2020,5,0,0,0
32,01/27/2021,25471939,155839,428276,4061
33,01/28/2020,5,0,0,0
34,01/28/2021,25630452,158513,432093,3817
35,01/29/2020,5,0,0,0
36,01/29/2021,25794143,163691,435633,3540
37,01/30/2020,5,0,0,0
38,01/30/2021,25934075,139932,438500,2867
39,01/31/2020,7,2,0,0
40,01/31/2021,26045113,111038,440446,1946
41,02/01/2020,8,1,0,0
42,02/01/2021,26170938,125825,442128,1682
43,02/02/2020,8,0,0,0
44,02/02/2021,26288402,117464,445567,3439
45,02/03/2020,11,3,0,0
46,02/03/2021,26410144,121742,449285,3718
47,02/04/2020,11,0,0,0
48,02/04/2021,26534502,124358,454407,5122
49,02/05/2020,11,0,0,0
50,02/05/2021,26661478,126976,457912,3505
51,02/06/2020,11,0,0,0
52,02/06/2021,26767778,106300,460687,2775
53,02/07/2020,11,0,0,0
54,02/07/2021,26857809,90031,462113,1426
55,02/08/2020,11,0,0,0
56,02/08/2021,26939515,81706,463659,1546
57,02/09/2020,11,0,0,0
58,02/09/2021,27030549,91034,466465,2806
59,02/10/2020,11,0,0,0
60,02/10/2021,27127858,97309,470110,3645
61,02/11/2020,12,1,0,0
62,02/11/2021,27229862,102004,473699,3589
63,02/12/2020,12,0,0,0
64,02/12/2021,27329275,99413,479219,5520
65,02/13/2020,13,1,0,0
66,02/13/2021,27417468,88193,482536,3317
67,02/14/2020,13,0,0,0
68,02/14/2021,27486037,68569,483853,1317
69,02/15/2020,13,0,0,0
70,02/15/2021,27542421,56384,485070,1217
71,02/16/2020,13,0,0,0
72,02/16/2021,27600391,57970,486466,1396
73,02/17/2020,13,0,0,0
