country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,gdp_per_capita,hospital_beds_per_thousand
Albania,49.0,0.0,211,4.0,10089.0,8428.0,1661.0,1931.0,0.36,0.29,0.06,2877800.0,104.871,11803.431,2.89
Algeria,59.0,3.0,356,14.0,75030.0,0.0,0.0,69070.0,0.17,0.0,0.0,43851043.0,17.348,13913.839,1.9
Argentina,64.0,1.0,305,14.0,13142466.0,8776303.0,3818717.0,658938.0,29.090000000000007,19.410000000000004,8.47,45195777.0,16.177,18933.907,5.0
Austria,1130.0,2.0,4812,7.0,8631494.0,6339517.0,1918291.0,405558.0,95.83000000000001,70.38999999999999,21.330000000000002,9006400.0,106.749,45436.686,7.37
Azerbaijan,16.0,0.0,151,0.0,65000.0,65000.0,0.0,65000.0,0.64,0.64,0.0,10139175.0,119.309,15847.419,4.7
Bahrain,221.0,0.0,2079,2.0,7546320.0,7546320.0,0.0,234874.0,443.5200000000001,443.5200000000001,0.0,1701583.0,1935.907,43290.705,2.0
Bangladesh,5.0,0.0,34,0.0,8118558.0,8118558.0,0.0,1170126.0,4.94,4.94,0.0,164689383.0,1265.036,3523.984,0.8
Belgium,1084.0,0.0,5186,10.0,13205172.0,10424425.0,2780747.0,600513.0,113.92000000000002,89.91999999999999,24.029999999999998,11589616.0,375.564,42658.576,5.64
Bolivia,9.0,0.0,35,0.0,16008.0,0.0,0.0,7964.0,0.13,0.0,0.0,11673029.0,10.202,6885.829,1.1
Brazil,233.0,0.0,919,0.0,92023781.0,88514612.0,3374371.0,5718168.0,43.290000000000006,41.64,1.57,212559409.0,25.04,14103.452,2.2
Bulgaria,65.0,1.0,198,9.0,1888070.0,1422835.0,465235.0,87318.0,27.15,20.48,6.759999999999998,6948445.0,65.18,18563.307,7.454
Cambodia,23.0,0.0,107,0.0,4728.0,4728.0,0.0,5216.0,0.03,0.03,0.0,16718971.0,90.672,3645.07,0.8
Canada,423.0,0.0,2118,7.0,25864249.0,4393237.0,684944.0,1043708.0,68.53,11.66,1.81,37742157.0,4.037,44017.591,2.5
