,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
0,Albania,10089.0,8428.0,1661.0,1931.0,0.36,0.29,0.06
1,Algeria,75030.0,0.0,0.0,69070.0,0.17,0.0,0.0
2,Andorra,4525.0,2903.0,0.0,944.0,5.859999999999999,3.76,0.0
3,Anguilla,1341.0,1341.0,0.0,1341.0,8.94,8.94,0.0
4,Argentina,13142466.0,8776303.0,3818717.0,658938.0,29.090000000000007,19.410000000000004,8.47
5,Austria,8631494.0,6339517.0,1918291.0,405558.0,95.83000000000001,70.38999999999999,21.330000000000002
6,Azerbaijan,65000.0,65000.0,0.0,65000.0,0.64,0.64,0.0
7,Bahrain,7546320.0,7546320.0,0.0,234874.0,443.5200000000001,443.5200000000001,0.0
8,Bangladesh,8118558.0,8118558.0,0.0,1170126.0,4.94,4.94,0.0
9,Barbados,20288.0,20288.0,0.0,4505.0,7.0600000000000005,7.0600000000000005,0.0
10,Belgium,13205172.0,10424425.0,2780747.0,600513.0,113.92000000000002,89.91999999999999,24.029999999999998
11,Bermuda,41744.0,25398.0,3191.0,12413.0,67.03,40.78,5.119999999999999
12,Bolivia,16008.0,0.0,0.0,7964.0,0.13,0.0,0.0
13,Brazil,92023781.0,88514612.0,3374371.0,5718168.0,43.290000000000006,41.64,1.57
14,Bulgaria,1888070.0,1422835.0,465235.0,87318.0,27.15,20.48,6.759999999999998
15,Cambodia,4728.0,4728.0,0.0,5216.0,0.03,0.03,0.0
16,Canada,25864249.0,4393237.0,684944.0,1043708.0,68.53,11.66,1.81
17,Cayman Islands,88256.0,54794.0,33462.0,17324.0,134.29,83.39,50.900000000000006
18,Chile,19101564.0,18404772.0,696792.0,1908990.0,99.98000000000002,96.37,3.5900000000000007
19,China,158487000.0,0.0,0.0,34922496.0,11.01,0.0,0.0
20,Colombia,29179.0,29179.0,0.0,11047.0,0.06,0.06,0.0
21,Costa Rica,344399.0,246776.0,85362.0,88258.0,6.75,4.85,1.6800000000000002
22,Croatia,1283933.0,840403.0,299549.0,120515.0,31.27,20.459999999999997,7.29
23,Cyprus,140686.0,107507.0,32469.0,37180.0,16.07,12.280000000000001,3.69
24,Czechia,11817985.0,9068338.0,2749647.0,497216.0,110.39,84.71000000000002,25.7
25,Denmark,11499786.0,8392954.0,3106832.0,432152.0,198.50999999999996,144.89000000000001,53.63
26,Dominican Republic,373.0,0.0,0.0,373.0,0.0,0.0,0.0
27,Ecuador,17508.0,15546.0,1962.0,8717.0,0.11,0.1,0.01
28,Egypt,1315.0,0.0,0.0,1314.0,0.0,0.0,0.0
29,England,327450159.0,309281823.0,18168336.0,13846357.0,581.76,549.4799999999999,32.28999999999999
30,Estonia,1606545.0,836525.0,372359.0,73132.0,121.12999999999998,63.06,28.07
31,Faeroe Islands,18789.0,16276.0,2513.0,1062.0,38.45,33.31,5.14
32,Finland,5897809.0,4333875.0,1060700.0,293545.0,106.46,78.20000000000002,19.17
33,France,62191771.0,53769538.0,8422233.0,3093435.0,91.66,79.24000000000001,12.419999999999998
34,Germany,104361556.0,79343753.0,25017803.0,4402873.0,124.61,94.74000000000001,29.88
35,Gibraltar,554146.0,426786.0,126826.0,29048.0,1644.7899999999997,1266.7900000000004,376.44000000000005
36,Greece,10628194.0,8442181.0,2186013.0,587017.0,101.95,80.98999999999998,21.010000000000005
37,Greenland,2584.0,2584.0,0.0,0.0,4.55,4.55,0.0
38,Guernsey,31755.0,18196.0,3612.0,7921.0,47.35,27.130000000000003,5.390000000000001
